:******************************************************************************,,,,,,,,
:*                          分析Method2測定結果ファイル                             *,,,,,,,,
:******************************************************************************,,,,,,,,
:,,,,,,,,
:------------------------------------------------------------,,,,,,,,
装置名称,分析装置,,,,,,,
装置型式,XXXX,,,,,,,
S/N,1234,,,,,,,
:,,,,,,,,
:------------------------------------------------------------,,,,,,,,
:,,,,,,,,
:--------------,,,,,,,,
: サンプルパラメータ,,,,,,,,
:--------------,,,,,,,,
,保存ファイル名,C:/Program/MachineA/DATA/UserX/MethodB/sampleX_methodB_991231.csv,,,,,,
,サンプル名,sampleX_methodB_991231,,,,,,
,コメント1,,,,,,,
,コメント2,,,,,,,
,コメント3,,,,,,,
,コメント4,,,,,,,
,サンプル重量,1,,,,,,
:----------------,,,,,,,,
: 前処理,,,,,,,,
:----------------,,,,,,,,
,前処理開始日時,#2100-04-01 08:00:00#,,,,,,
,前処理終了日時,#2100-04-01 10:00:00#,,,,,,
,前処理ステップ数,4,,,,,,
:,STEP,ガス名,流量,時間,目標温度,X機構,,
,1,0,0,0,0,0,,
,2,0,0,0,0,0,,
,3,0,0,0,0,use,,
,4,0,0,0,0,0,,
:--------------,,,,,,,,
: 測定条件,,,,,,,,
:--------------,,,,,,,,
,設定値0,0,,,,,,
,設定値1,0,,,,,,
,設定値2,0,,,,,,
,設定値3,0,,,,,,
,設定値4,0,,,,,,
,設定値5,0,,,,,,
,設定値6,0,,,,,,
,設定値7,0,,,,,,
,設定値8,0,,,,,,
:----------------,,,,,,,,
: Chart,,,,,,,,
:----------------,,,,,,,,
測定値0,測定値1,測定値2,測定値3,測定値4,測定値5,測定値6,測定値7,TIME
1,0,0,0,0,0,0,0,4/1/2100 10:00
2,0,0,0,0,0,0,0,4/1/2100 10:00
3,0,0,0,0,0,0,0,4/1/2100 10:00
4,0,0,0,0,0,0,0,4/1/2100 10:00
5,0,0,0,0,0,0,0,4/1/2100 10:00
6,0,0,0,0,0,0,0,4/1/2100 10:00
7,0,0,0,0,0,0,0,4/1/2100 10:00
8,0,0,0,0,0,0,0,4/1/2100 10:00
9,0,0,0,0,0,0,0,4/1/2100 10:00
10,0,0,0,0,0,0,0,4/1/2100 10:00
11,0,0,0,0,0,0,0,4/1/2100 10:00
