:******************************************************************************,,,,,,,,,,,,,,
:*                          分析Method1測定結果ファイル                             *,,,,,,,,,,,,,,
:******************************************************************************,,,,,,,,,,,,,,
:,,,,,,,,,,,,,,
:------------------------------------------------------------,,,,,,,,,,,,,,
装置名称,分析装置,,,,,,,,,,,,,
装置型式,XXXX,,,,,,,,,,,,,
S/N,1234,,,,,,,,,,,,,
:,,,,,,,,,,,,,,
:------------------------------------------------------------,,,,,,,,,,,,,,
:,,,,,,,,,,,,,,
:--------------,,,,,,,,,,,,,,
: サンプルパラメータ,,,,,,,,,,,,,,
:--------------,,,,,,,,,,,,,,
,保存ファイル名,C:/Program/MachineA/DATA/UserX/MethodA/sampleX_methodA_991231.csv,,,,,,,,,,,,
,サンプル名,sampleX_methodA_991231,,,,,,,,,,,,
,コメント1,,,,,,,,,,,,,
,コメント2,,,,,,,,,,,,,
,コメント3,,,,,,,,,,,,,
,コメント4,,,,,,,,,,,,,
,サンプル重量,1,,,,,,,,,,,,
:----------------,,,,,,,,,,,,,,
: 前処理,,,,,,,,,,,,,,
:----------------,,,,,,,,,,,,,,
,前処理開始日時,#2100-04-01 08:00:00#,,,,,,,,,,,,
,前処理終了日時,#2100-04-01 10:00:00#,,,,,,,,,,,,
,前処理ステップ数,6,,,,,,,,,,,,
:,STEP,ガス名,流量,時間,目標温度,X機構,,,,,,,,
,1,0,0,0,0,0,,,,,,,,
,2,0,0,0,0,0,,,,,,,,
,3,0,0,0,0,0,,,,,,,,
,4,0,0,0,0,0,,,,,,,,
,5,0,0,0,0,use,,,,,,,,
,6,0,0,0,0,0,,,,,,,,
:--------------,,,,,,,,,,,,,,
: 測定条件,,,,,,,,,,,,,,
:--------------,,,,,,,,,,,,,,
,設定値0,0,,,,,,,,,,,,
,設定値1,0,,,,,,,,,,,,
,設定値2,0,,,,,,,,,,,,
,設定値3,0,,,,,,,,,,,,
,設定値4,0,,,,,,,,,,,,
,設定値5,0,,,,,,,,,,,,
,設定値6,0,,,,,,,,,,,,
,設定値7,0,,,,,,,,,,,,
,設定値8,0,,,,,,,,,,,,
,設定値9,0,,,,,,,,,,,,
,設定値10,0,,,,,,,,,,,,
,設定値11,0,,,,,,,,,,,,
,設定値12,0,,,,,,,,,,,,
,設定値13,0,,,,,,,,,,,,
,設定値14,0,,,,,,,,,,,,
,設定値15,0,,,,,,,,,,,,
,設定値16,0,,,,,,,,,,,,
,設定値17,0,,,,,,,,,,,,
,設定値18,0,,,,,,,,,,,,
,設定値19,0,,,,,,,,,,,,
,設定値20,0,,,,,,,,,,,,
,設定値21,0,,,,,,,,,,,,
,設定値22,0,,,,,,,,,,,,
,設定値23,0,,,,,,,,,,,,
,設定値24,0,,,,,,,,,,,,
,設定値25,0,,,,,,,,,,,,
,設定値26,0,,,,,,,,,,,,
,設定値27,0,,,,,,,,,,,,
,設定値28,0,,,,,,,,,,,,
,設定値29,0,,,,,,,,,,,,
,設定値30,0,,,,,,,,,,,,
,設定値31,0,,,,,,,,,,,,
,設定値32,0,,,,,,,,,,,,
,設定値33,0,,,,,,,,,,,,
:----------------,,,,,,,,,,,,,,
: 測定結果,,,,,,,,,,,,,,
:----------------,,,,,,,,,,,,,,
,測定開始日時,#2100-04-01 10:30:00#,,,,,,,,,,,,
,測定終了日時,#2100-04-01 12:30:00#,,,,,,,,,,,,
,測定開始位置,8781,,,,,,,,,,,,
,測定終了位置,14033,,,,,,,,,,,,
,測定位置,1,,,,,,,,,,,,
,パルス数,16,,,,,,,,,,,,
:,測定値A1,測定値A2,測定値A3,測定値A4,測定値A5,測定値A6,測定値A7,測定値A8,測定値A9,測定値A10,測定値A11,測定値A12,測定値A13,測定値A14
,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0,0,0,0,0
,13,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,0,0,0,0,0,0,0,0,0,0,0,0,0
,15,0,0,0,0,0,0,0,0,0,0,0,0,0
,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,測定結果1,0,,,,,,,,,,,,
,測定結果2,0,,,,,,,,,,,,
,測定結果3,0,,,,,,,,,,,,
,測定結果4,0,,,,,,,,,,,,
,測定結果5,0,,,,,,,,,,,,
,測定結果6,0,,,,,,,,,,,,
,測定結果7,0,,,,,,,,,,,,
,測定結果8,0,,,,,,,,,,,,
:----------------,,,,,,,,,,,,,,
: Chart,,,,,,,,,,,,,,
:----------------,,,,,,,,,,,,,,
:,sec,μV・sec,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
